espnId,fullName,dob,citizenship
2335522,Forrest Griffin,1979-07-01,
2335523,Vernon White,1971-12-03,
2335524,Lyoto Machida,1978-05-30,Brazil
2335525,Stephan Bonnar,1977-04-04,
2335526,Thiago Silva,1982-11-12,Brazil
2335527,Matt Hamill,1976-10-05,
2335528,Razak Al-Hassan,1983-04-14,Ghana
2335529,Houston Alexander,1972-03-22,USA
2335530,Ryan Bader,1983-06-07,USA
2335531,Tim Boetsch,1981-01-28,USA
2335532,Jason Brilz,1975-07-07,
2335602,Michael Bisping,1979-02-28,
2335603,Sean Salmon,1977-11-09,
2335604,Jason Lambert,1977-09-23,USA
2335605,Sam Hoger,1980-06-28,
2335606,Brad Imes,1977-03-16,
2335607,Jaime Jara,1969-08-02,
2335608,Hector Ramirez,1976-03-28,USA
2335610,Rameau Thierry Sokoudjou,1984-04-18,Cameroon
2335627,David Heath,1976-10-02,
2335628,Dimitiri Wanderley,,
2335629,BJ Penn,1978-12-13,USA
2335633,Steve Cantwell,1986-12-08,
2335634,Luiz Cane,1981-04-02,
2335635,Jason DeLucia,,
2335636,Tomasz Drwal,1982-01-22,Poland
2335637,Andre Gusmao,,
2335638,Art Jimmerson,,
2335639,Jon Jones,1987-07-19,USA
2335640,Kyle Kingsbury,1982-03-22,
2335641,Tom Lawlor,1983-05-15,USA
2335642,James Lee,1973-09-22,
2335643,Vinny Magalhaes,1984-07-02,Brazil
2335644,Eliot Marshall,1980-07-07,
2335645,Antonio Mendes,1981-04-19,
2335646,Guy Mezger,1968-01-01,
2335647,Mark Munoz,1978-02-09,USA
2335648,Jake O'Brien,1984-09-25,
2335649,Michael Patt,,
2335650,Eric Schafer,1977-09-20,
2335651,Krzysztof Soszynski,1977-08-22,
2335652,Brandon Vera,1977-10-10,USA
2335653,Ken Shamrock,1964-02-11,
2335654,Cain Velasquez,1982-07-28,USA
2335655,Cheick Kongo,1975-05-17,France
2335656,Shane Carwin,1975-01-04,
2335657,Mostapha Al-Turk,1973-07-14,
2335658,Pat Barry,1979-07-07,
2335659,Georges St-Pierre,1981-05-19,
2335660,Thiago Alves,1983-10-03,Brazil
2335661,Matt Hughes,1973-10-13,
2335662,Matt Serra,1974-06-02,
2335663,Anthony Johnson,1984-03-06,USA
2335664,Josh Koscheck,1977-11-30,
2335665,Jon Fitch,1978-02-24,USA
2335666,Matt Brown,1981-01-10,USA
2335667,Ryo Chonan,1976-10-08,
2335668,Akihiro Gono,1974-10-07,Japan
2335669,Matt Arroyo,1982-01-09,
2335670,Chris Lytle,1974-08-18,
2335671,Diego Sanchez,1981-12-31,USA
2335672,Joe Stevenson,1982-06-15,USA
2335673,Jeremy Stephens,1986-05-25,USA
2335674,Clay Guida,1981-12-08,USA
2335675,Kenny Florian,1976-05-26,
2335676,Joe Lauzon,1984-05-22,USA
2335677,Tyson Griffin,1984-04-20,USA
2335678,Sean Sherk,1973-08-05,
2335679,Nate Diaz,1985-04-16,USA
2335680,Junie Browning,1985-05-12,
2335681,Roger Huerta,1983-05-20,USA
2335682,Urijah Faber,1979-05-14,USA
2335683,Marcus Aurelio,1973-08-18,
2335684,Rich Clementi,1977-03-31,
2335685,Mac Danzig,1980-01-02,
2335686,Rolando Delgado,1981-11-22,
2335687,Rafael Dos Anjos,1984-10-26,Brazil
2335688,Efrain Escudero,1986-01-15,Mexico
2335689,Gray Maynard,1979-05-09,USA
2335690,Cole Miller,1984-04-28,USA
2335691,Josh Neer,1983-03-24,USA
2335692,Shane Nelson,,
2335693,Phillipe Nover,1984-02-03,USA
2335694,Frankie Edgar,1981-10-16,USA
2335695,Yushin Okami,1981-07-21,Japan
2335696,Dan Miller,1981-06-30,
2335697,Royce Gracie,1966-12-12,
2335698,Joe Riggs,1982-09-23,USA
2335699,Frank Trigg,1972-05-07,USA
2335700,Renato Verissimo,,
2335701,Karo Parisyan,1982-08-28,
2335702,Ivan Menjivar,1982-05-30,
2335703,Jeff Curran,1977-09-02,USA
2335704,Din Thomas,1976-09-28,
2335705,Kelly Dullanty,1977-07-04,
2335706,Yves Edwards,1976-09-30,
2335707,Bobby Lashley,1976-07-16,
2335708,Hermes Franca,1974-08-27,Brazil
2335709,Nick Diaz,1983-08-02,USA
2335710,Joel Blanton,1971-05-21,
2335711,Lee King,1976-08-14,
2335712,Brodie Farber,,
2335713,Darin Brudigan,,
2335714,Fedor Emelianenko,1976-09-28,Russia
2335715,Bob Sapp,1972-09-22,
2335716,Spencer Fisher,1976-05-09,USA
2335717,Mark Bocek,1981-10-24,
2335718,Jim Miller,1983-08-30,USA
2335719,Steve Steinbeiss,,
2335720,Deividas Taurosevicius,1977-08-28,
2335721,Steve Macabe,,
2335722,Jay Isip,,
2335723,Mark Getto,,
2335724,Mike Ciesnolevicz,1979-10-28,
2335725,Junior Dos Santos,1984-01-30,Brazil
2335726,Dan Severn,1954-06-08,
2335727,Stefan Struve,1988-02-18,Netherlands
2335728,Zane Frazier,1966-07-16,
2335729,Justin Eilers,1978-06-28,
2335730,Antoni Hardonk,1976-05-02,
2335731,Neil Grove,1971-01-18,
2335732,Chris Wilson,,
2335733,Brandon Wolff,,
2335734,Yoshiyuki Yoshida,1974-05-10,Japan
2335735,Paulo Thiago,1981-01-25,Brazil
2335736,Paul Taylor,1979-12-15,
2335737,Kendall Grove,1982-12-11,USA
2335738,Gerard Gordeau,1959-03-30,
2335739,Justin McCully,1976-02-18,
2335741,Denis Stojnic,1980-02-02,Bosnia & Herzegovina
2335742,Patrick Trey Smith,1963-07-16,
2335743,Mike Wessel,1977-12-02,USA
2335744,CB Dollaway,1983-08-10,USA
2335745,Alex Schoenauer,,
2335746,Ivan Serati,,
2335747,Derek Downey,1980-04-27,
2335748,Brian Stann,1980-09-24,
2335749,Marvin Eastman,1971-07-16,
2335750,Christian Wellisch,1981-04-17,
2335751,Denis Kang,1977-09-17,
2335752,Xavier Foupa-Pokam,1982-03-07,
2335754,Ed Herman,1980-10-02,USA
2335755,Alexandre Barros,,
2335756,Rob Kimmons,1981-01-30,
2335757,Trent Jenkins,,
2335759,Brad Blackburn,,
2335760,David Baron,1973-02-15,
2335761,Matt Horwich,1978-02-10,USA
2335762,Nissen Osterneck,,
2335763,David Bielkheden,1979-06-06,Sweden
2335764,Rousimar Palhares,1980-02-20,Brazil
2335765,Steve Bruno,,
2335766,Jorge Rivera,1972-02-28,
2335767,Kyle Bradley,1982-08-19,USA
2335768,Travis Lutter,1973-12-05,
2335769,Nate Loughran,,
2335770,Justin Buchholz,1983-08-22,USA
2335771,Jason MacDonald,1975-06-03,
2335772,Evan Dunham,1981-12-18,USA
2335773,Nate Quarry,1972-03-18,
2335774,Mike Massenzio,1982-11-01,USA
2335775,Per Eklund,,
2335776,Jake Rosholt,1982-02-09,
2335777,Goran Reljic,1984-03-20,Croatia
2335778,Demian Maia,1977-11-06,Brazil
2335779,Amir Sadollah,1980-08-27,
2335780,Rob Emerson,1981-07-30,USA
2335781,Charles McCarthy,1980-08-06,
2335782,Terry Etim,1985-10-19,
2335783,Manvel Gamburyan,1981-05-08,USA
2335784,Roan Carneiro,1978-06-02,Brazil
2335785,Alessio Sakara,1981-09-02,Italy
2335786,Ivan Salaverry,1971-01-11,
2335787,George Sotiropoulos,1977-07-09,Australia
2335788,Dan Cramer,1985-10-31,
2335789,Matt Grice,1981-07-29,USA
2335790,Jorge Santiago,1980-10-09,USA
2335791,Tim McKenzie,,
2335792,Tom Egan,,
2335793,Aaron Simpson,1974-07-20,USA
2335794,Gina Carano,1982-04-16,USA
2335795,Shannon Gugerty,1981-12-30,
2335796,Chael Sonnen,1977-04-03,
2335797,Dennis Siver,1979-01-13,Germany
2335798,Dustin Hazelett,1986-04-29,
2335799,Luke Cummo,1980-04-27,
2335800,Melvin Guillard,1983-03-30,USA
2335801,George Roop,1981-11-10,
2335802,Rory Markham,1982-03-25,
2335803,Luigi Fioravanti,1981-01-22,USA
2335804,Marcus Davis,1973-08-24,
2335805,Dale Hartt,,
2335806,Jonathan Goulet,1979-07-13,
2335807,Tamdan McCrory,1986-11-05,USA
2335808,John Howard,1983-03-01,USA
2335809,Aaron Riley,1980-12-09,USA
2335810,John Hathaway,1987-07-01,England
2335811,Corey Hill,1978-10-03,USA
2335812,Kurt Pellegrino,1979-05-07,
2335813,Paul Kelly,1984-09-12,
2335814,David Kaplan,1979-11-16,
2335815,Nate Mohr,1983-03-03,
2335816,Troy Mandaloniz,1980-01-02,
2335817,Sammy Morgan,1981-09-28,
2335818,Dong Hyun Kim,1981-11-17,Korea
2335819,Mike Swick,1979-06-19,
2335820,Ben Saunders,1983-04-13,USA
2335821,Jason Tan,,
2335822,Alex Karalexis,1977-09-20,
2335823,Jess Liaudin,,
2335824,Jared Rollins,1977-01-26,
2335825,Keita Nakamura,1984-05-22,Japan
2335826,Ryan Madigan,1977-04-02,
2335827,Kuniyoshi Hironaka,1976-06-17,
2335828,Matthew Riddle,1986-01-14,
2335829,Dean Lister,1976-02-13,
2335830,Evan Tanner,1971-02-11,
2335831,Rory Singer,1976-05-28,
2335832,Kalib Starnes,1975-01-06,Canada
2335833,Izuru Takeuchi,1974-08-05,
2335834,Ryan McGivern,1980-01-17,
2335835,Mike Geurin,,
2335837,Dave Phillips,1980-01-12,
2335838,Jose Rodriguez,,
2335839,Lance Everson,,
2335840,Dave Perez,,
2335842,Paulo Filho,1978-05-24,
2335844,Aleksei Oleinik,1977-06-20,Russia
2335845,Kyacey Uscola,1981-10-07,
2335846,Bryan Baker,1985-10-13,USA
2335847,Amar Suloev,1976-07-01,
2335867,David Loiseau,1979-12-17,
2335874,Dan Evensen,1974-06-01,
2335875,Mirko Filipovic,1974-09-10,
2335876,Assuerio Silva,1974-06-18,
2335877,Gilbert Aldana,1977-08-28,
2335878,Dave Dalgliesh,1978-04-05,
2335879,Gabor Nemeth,1973-03-06,
2335880,Gilbert Yvel,1976-06-30,Netherlands
2335881,Joop Kasteel,1964-08-27,
2335882,Dave Vader,1977-07-04,
2335883,Hans Nijman,1959-09-23,
2335884,Cade Swallows,,
2335885,Jens Pulver,1974-12-06,
2335886,Mike Brown,1975-09-08,
2335887,Chance Farrar,1975-09-11,
2335888,Dominick Cruz,1985-03-09,USA
2335889,Joe Pearson,1978-03-28,USA
2335890,Bibiano Fernandes,1980-03-30,Brazil
2335891,Enoch Wilson,,
2335892,Naoya Uematsu,,
2336285,Kazuyuki Fujita,1970-10-16,
2336286,Hidehiko Yoshida,1969-09-03,
2354016,Miguel Torres,1981-01-18,USA
2354017,Brad Morris,,
2354018,Jeremiah Constant,1974-07-19,
2354019,Jesse Fujarczyk,1983-01-28,
2354023,Min Soo Kim,1975-01-22,
2354046,Dan Christison,1972-04-26,
2354047,Marcio Cruz,1978-04-24,
2354048,Tim Sylvia,1976-05-03,
2354049,Wes Sims,1979-08-04,
2354050,David Abbott,1965-07-16,
2354051,Jason Miller,1980-12-24,USA
2354052,Dave Strasser,1969-07-13,
2354053,Tony DeSouza,1974-07-26,
2354054,John Alessio,1979-07-05,Canada
2354055,Derrick Noble,1978-08-14,
2354056,Ansar Chalangov,,
2354057,Vitor Belfort,1977-04-01,Brazil
2354058,Kazuo Misaki,1976-04-25,
2354059,Murilo Bustamante,1966-07-30,
2354075,Elvis Sinosic,1971-02-13,
2354076,Josh Haynes,,
2354078,Ross Pointon,1980-02-18,England
2354079,Jakob Lovstad,,
2354080,Mike Nickels,,
2354081,Miika Mehmet,,
2354082,Milco Voorn,,
2354083,Don Frye,1965-11-23,
2354084,Allan Goes,1971-04-20,
2354085,Akira Shoji,1974-01-31,
2354086,Leonard Garcia,1979-07-14,
2354087,Cub Swanson,1983-11-02,USA
2354088,Cole Escovedo,1981-08-30,
2354089,Kenji Arai,1979-10-05,
2354090,Hayato Sakurai,1975-08-24,
2354091,Tomomi Iwama,,
2354093,Sean Sallee,,
2354097,Eban Oroz,,
2354098,Manny Reyes Jr.,,
2354099,Jason Bryant,,
2354100,Rocky Long,1978-08-18,
2354101,Dustin Neace,1986-09-12,
2354102,Masakazu Imanari,1976-02-10,Japan
2354103,Tony Fryklund,,
2354104,Joshua Burkman,1980-04-10,USA
2354105,Mike Cook,,
2354106,Brock Larson,1977-08-23,USA
2354107,Jason Guida,1977-08-04,
2354108,Joshua Franklin,,
2354109,Luis Dutra Jr.,1982-05-06,
2354110,Paulo Cavera,,
2354111,Leonardo Pecanha,1982-07-15,
2354112,Fernando Bettega,,
2354113,Frank Carelli,,
2354114,Igor Pakoto,,
2354115,Diogo Almeida,,Brazil
2354116,Marcone Marcone,,
2354117,Ricardo Petrucio,,
2354118,Bill Mahood,1967-02-01,
2354119,Renzo Gracie,1967-03-11,Brazil
2354120,Rodrigo Gracie,1975-03-11,
2354121,Duane Ludwig,1978-08-04,
2354122,Ferrid Kheder,1975-03-03,Tunisia
2354123,Evert Fyeet,,
2354124,Alvin Robinson,1982-07-16,USA
2354125,Buck Meredith,1982-05-17,
2354126,Dokonjonosuke Mishima,1972-04-19,
2354127,Yoshihiro Akiyama,1975-07-29,Japan
2354128,Sam Stout,1984-04-23,Canada
2354129,Kit Cope,1977-03-17,
2354130,Johny Hendricks,1983-09-12,
2354131,Ronald Jhun,,
2354132,Jose Landi-Jons,1973-09-15,
2354133,Osami Shibuya,1976-01-07,
2354136,Nick Sorg,,
2354137,Paul Rodriguez,1975-05-18,
2354138,Mark Miller,,
2354139,Tyson Burris,,
2354140,Mark Gearhart,,
2354141,TJ Waldburger,1988-04-25,
2354142,Wayne Haijcek,,
2354170,Josh Grispi,1988-10-14,
2354186,Justin Haskins,1979-08-30,
2354187,Richard Gamble,,
2354188,Spencer Cowley,,
2354189,Victor Rackliff,,
2354190,Alex Serdyukov,1980-05-24,
2354193,Thiago Tavares,1984-11-08,Brazil
2354194,Alberto Crane,1976-07-14,
2354195,Steve Vigneault,,
2354196,Gideon Ray,1973-05-27,
2354197,Ryan Thomas,1984-11-05,USA
2354198,Dan Barrera,1980-12-23,
2354199,Charles Blanchard,,
2354200,Kenny Stevens,,
2354201,Rick Delvecchio,,
2354202,Reggie Pena,1983-04-09,USA
2354203,Diego Vitosky,,
2354204,Crafton Wallace,,
2354205,Dan Hardy,1982-05-17,
2354206,Pete Spratt,1971-01-09,
2354207,Shonie Carter,1972-05-03,USA
2354208,Forrest Petz,1975-09-22,
2354210,Daniel Weichel,1984-11-22,Germany
2354211,Chad Reiner,,
2354212,Manuel Garcia,,
2354213,Hidetaka Monma,1973-10-23,
2354214,Daizo Ishige,1980-11-11,
2354215,Willy Ni,,
2354216,Alexandre Izidro,,
2354217,Dan Lauzon,1988-03-30,USA
2354218,Matt Wiman,1983-09-19,USA
2354219,Randy Hauer,,
2354220,Junior Assuncao,1981-06-24,Brazil
2354221,Drew Fickett,1979-12-14,USA
2354222,Jesse Chilton,1981-09-18,
2354223,Vadim Kulchitskiy,,
2354224,Chris Price,,
2354225,Jay Carter,,
2354226,Matt Gidney,,
2354228,James McSweeney,1980-10-24,England
2354229,Gary Turner,,
2354230,Tengiz Tedoradze,,
2354231,Mark Kerr,1968-12-21,
2354232,Henry Miller,1969-07-16,
2354233,Martin Thompson,1985-03-31,England
2354234,Fereidoun Naghizadeh,,
2354235,Kassim Annan,1980-12-18,
2354236,Mike Ward,,
2354237,Hong Man Choi,1980-10-30,
2354238,Tatsuya Mizuno,1981-06-02,
2354239,Gabriel Gonzaga,1979-05-18,Brazil
2354240,Eddie Sanchez,1982-04-11,
2354241,Josh Barnett,1977-11-10,USA
2354242,Ikuhisa Minowa,1976-01-12,
2354243,Caol Uno,1975-05-08,Japan
2354244,Shinya Aoki,1983-05-09,
2354245,Mitsuhiro Ishida,1978-12-29,
2354246,Andre Amado,,
2354247,Katsuhiko Nagata,,
2354248,Ali Ibrahim,,
2354249,Gesias Cavalcante,1983-07-06,Brazil
2354250,Kultar Gill,1979-03-29,
2354251,Ole Laursen,,
2354252,Tommy Speer,1984-08-20,
2354253,Clay French,1980-10-07,
2354254,John Mahlow,1980-06-28,
2354255,Buddy Clinton,1977-09-09,
2354256,Orlando Ruiz,,
2354257,Jason Ireland,1979-12-30,
2354258,Bart Palaszewski,1983-05-30,
2354259,Chris Liguori,,
2354260,Nuri Shakir,,
2354261,Anthony Morrison,1984-03-29,
2354262,Al Buck,,
2354263,Moyses Gabin,1980-08-14,
2354264,Parker Porter,1985-04-22,USA
2354265,Ryan Verrett,,
2354266,Anthony Pina,,
2354267,Carlos Eduardo,1981-12-09,
2354268,Brad Bernard,,
2354269,Andrei Arlovski,1979-02-04,USA
2354270,Josh Schockman,1980-12-29,
2354271,Kristof Midoux,,
2354272,Pat Harmon,,
2354273,Antoine Hayes,,
2354274,Jay White,,
2354275,Johnathan Ivey,,
2354276,Masanori Tonooka,,
2354277,Katsuyori Shibata,1979-11-17,
2354278,Paul Georgieff,1982-09-22,
2354279,Kazushi Sakuraba,1969-07-14,
2354280,Dan Chambers,,
2354281,Melvin Manhoef,1976-05-11,Netherlands
2354282,Cory MacDonald,,
2354283,Travis Axworthy,,
2354284,Jesse Bongfeldt,,
2354285,Thomas Schulte,1981-01-13,
2354287,Hidehiko Hasegawa,1978-07-13,
2354288,Yukiharu Maejima,1973-11-05,
2354289,Hidenobu Koike,1976-05-11,
2354290,Jun Ando,,
2354291,Kosei Kubota,1977-08-11,
2354292,Tomoyoshi Iwamiya,1982-06-15,
2354293,Jesse Taylor,1983-01-02,USA
2354295,Bill Smallwood,1981-10-23,USA
2354296,Hans Marrero,,
2354297,Joe Bunch,1984-01-09,
2354298,George Hartman,,
2354299,Levi LaLonde,,
2354300,Chuck Pablo,,
2354301,Travis Bartlett,,
2354302,Shane Primm,,
2354303,Cesar Barros,,
2354304,Jason Barlog,,
2354305,Jonathan Fernandez,,
2354306,Ariel Gandulla,,
2354307,Matt Veach,,
2354308,Jason Black,1972-08-15,
2354309,Clint Kerley,,
2354310,Jason Anderson,,
2354311,Dan Marks,,
2354312,Joe Davis,,
2354313,Shervin Alavi,,
2354314,Matt Grey,,
2354315,Noah Tedesco,,
2354316,Johnny Torres,,
2354317,Lucas Factor,,
2354318,Paris Ruiz,,
2354319,Rob Yundt,1980-05-05,
2354320,Joe Nicholas,,
2354321,Joey Radanzzo,,
2354322,Jose Carillo,,
2354323,Yuki Saski,,
2354324,Andrei Semenov,1977-06-17,
2354332,Kestutis Smirnovas,,
2354333,Taiei Kin,,
2354334,Tokimitsu Ishizawa,1968-08-05,
2354335,Brian Gassaway,1972-08-07,
2354336,Gleison Tibau,1983-07-10,Brazil
2354337,Diego Saraiva,1982-04-23,Brazil
2354338,Nick Walker,,
2354339,Vern Jefferson,,
2354340,Norm Alexander,,
2354341,Samy Schiavo,1975-12-24,
2354342,Justin James,,
2354343,Joe Martin,,
2354344,Yusuke Endo,1982-02-03,
2354346,Matt Lindland,1970-05-17,
2354347,Mark Hunt,1974-03-23,New Zealand
2354348,Wagner da Conceicao Martins,1978-05-19,
2354349,Tsuyoshi Kosaka,1970-03-06,Japan
2354350,Dong Sik Yoon,1972-08-24,
2354351,Hirotaka Yokoi,1978-06-08,
2354352,TJ Grant,1984-02-26,
2354353,Beau Baker,1979-05-23,
2354354,Mike Gates,,
2354355,Stephane Lamarche,,
2354356,Stephane Dube,,
2354357,Kevin Manderson,,
2354358,Gary Wright,,
2354359,Jason Reinhardt,,
2354360,Brandon Melendez,1983-03-24,
2354361,Douglas Brown,,
2354362,Zane Baker,,
2354363,Adam Comfort,,
2354364,Raphael Assuncao,1982-07-19,Brazil
2354368,David Lee,,England
2354369,Chuck Kim,,
2354370,Dennis Davis,1978-03-15,
2354371,Joe Hurley,1978-06-24,
2354435,Douglas Evans,1980-10-10,
2354436,John Halverson,1972-09-08,
2354437,Jason Dent,1980-06-12,
2354438,Joe Camacho,1972-03-10,
2354439,Dan Swift,1975-01-15,
2354440,Logan Barger,,
2354441,Dustin Walden,,USA
2354522,Ryan Roberts,1978-07-18,USA
2354523,Luke Caudillo,1980-11-30,
2354524,Takanori Gomi,1978-09-22,Japan
2354525,Jutaro Nakao,1970-11-30,
2354527,Igor Vovchanchyn,1973-08-06,
2354530,Naoya Ogawa,1968-03-31,
2354531,Ibragim Magomedov,1995-02-10,Russia
2354532,Mike Van Arsdale,1965-06-20,
2354533,Fabricio Werdum,1977-07-30,Brazil
2354534,Kiyoshi Tamura,1969-12-17,
2354535,Pawel Nastula,1970-06-26,
2354536,Mike Whitehead,1981-06-29,USA
2354537,Kerry Schall,1971-08-09,
2354538,Dennis Silver,,
2354539,Gabe Ruediger,1977-08-29,USA
2354540,Rick Davis,,
2354541,Eric Regan,,
2354544,Jamie Varner,1984-10-12,
2354545,Joe Jordan,1978-07-27,
2354546,Brandon Olsen,,
2354547,Toby Imada,1979-07-16,
2354548,Ryan Schultz,1977-04-07,
2354553,Kevin Ferguson,1974-02-08,
2354554,Seth Petruzelli,1979-12-03,
2354555,James Thompson,1978-12-16,
2354556,Kelly Kobold,,
2354557,Kaitlin Young,1985-09-15,USA
2354558,Tonya Evinger,1981-06-04,USA
2354559,Bo Cantrell,1969-02-08,
2354560,Julie Kedzie,1981-03-18,USA
2354561,Elaina Maxwell,,
2354562,Rosi Sexton,1977-07-16,
2354563,Leiticia Pestova,,
2354564,Cris Cyborg,1985-07-09,Brazil
2354565,Hitomi Akano,1974-07-27,
2354566,Yoko Takahashi,1973-04-20,
2354567,Shayna Baszler,1980-08-08,USA
2354568,Marise Vitoria,,
2354569,Elaine Santiago,,
2354570,Chris Schroeder,,
2354571,Vanessa Porto,1984-03-16,Brazil
2354572,Erica Paes,,
2354575,Jeff Cox,1969-12-31,
2354576,John Franchi,,
2354577,Pat Benson,,
2354579,Joe Veres,1977-11-09,
2354580,Stryder Fann,,
2381659,Rogerio Nogueira,1976-06-02,Brazil
2381666,Joey Gorczynski,,
2381675,Tyrone Glover,,
2381676,Dwayne Shelton,,
2381677,Dustin Piekin,,
2381678,Gabe Lemley,,
2381679,Luciano Azevedo,1981-06-25,
2396131,Sasuke Zapata,,
2396132,Kyle Jensen,,
2396134,Antoine Skinner,,
2396135,Kyle Gibbons,1983-09-12,
2396136,Takafumi Otsuka,1986-08-22,Japan
2396137,Takaichi Hirayama,1978-08-20,
2396138,Gabriel Veiga,,
2396139,Danilo Cherman,1983-01-21,
2396140,Mauricio Reis,,
2396141,Thiago Minu,1975-09-05,
2396142,Johil de Oliveira,1969-08-07,
2396143,Mateus Trinidade,,
2396144,Mark Colangelo,,
2396146,Garrett Davis,1976-12-12,
2410603,Tommy Wagner,,
2410604,Jon Kecks,,
2410605,TJ Zasa,,
2410606,Peter Newsheller,,
2410607,Nic Stone,,
2410608,Mike Smith,,
2410609,Joe Cronin,1981-10-25,
2410611,Brent Weedman,1984-10-10,
2410612,Josh Powell,,
2410613,Jorge Gurgel,1977-01-25,
2410614,Andy Wang,,
2410615,Josh Sauder,,
2410616,John Strawn,,
2410617,Takeshi Inoue,1980-03-18,
2410618,Saul Mitchell,,
2410619,Joe Germain,,
2410621,Neil Wain,,England
2410622,Sherman Pendergarst,,
2410623,Rex Richards,,
2410624,Rick Slaton,,
2410625,Chris Guillen,1972-12-09,
2410626,Justice Smith,,
2410627,Jay McCown,,
2410628,Casey Jackson,,
2410629,Carlton Jones,,
2412445,Pedro Rizzo,1974-05-03,Brazil
2412446,Jeff Monson,1971-01-18,USA
2412447,Aleksander Emelianenko,1981-08-02,Russia
2412448,Vitor Vianna,1979-11-02,
2412449,Claudio Godoi,,
2412450,Dino Pezao,,
2431250,Terry Martin,1980-10-10,
2431251,Edwin Dewees,1982-08-07,
2431252,Jason Thacker,,
2431253,Dave Menne,1974-07-29,
2431254,Jeff Joslin,1975-04-30,
2431255,Danny Babcock,,
2431256,Falaniko Vitale,,
2431257,Makoto Takimoto,1974-08-12,
2431258,Robbie Lawler,1982-03-20,USA
2431259,Reese Andy,1973-03-31,
2431260,Andre Mussi,,
2431261,Fabiano Scherner,1972-06-30,
2431262,Rex Holman,,
2431263,Jesse Forbes,1984-10-24,
2431264,Robert Hitte,,
2431266,Buckley Acosta,,
2431267,Brad Peterson,,
2431268,Josh Hendricks,1976-08-28,
2431269,Ulysses Cortez,,
2431270,Dicky Chavez,,
2431271,Tim Peacock,,
2431272,Kevin Jordan,1970-12-31,
2431273,David Baggett,,
2431274,Dave Covello,,
2431275,Walter Farias,,
2431276,Chris Tuchscherer,1975-09-08,
2431277,William Hill,1974-10-11,
2431278,Ryan Antle,,
2431279,Rob MacDonald,1978-09-05,Canada
2431280,Jason Veach,,
2431281,Colin Robinson,1968-11-27,
2431282,Claudineney Kozan,,
2431283,Kevin Burns,,
2431284,Keith Wilson,,
2431285,Rich Moskowitz,,
2431286,Jonathan Romero,,
2431287,Tim Hague,1983-05-09,Canada
2431289,Simon Diouf,,
2431290,John George,,
2431291,Mike Delaney,1974-08-10,
2431292,Tony Lopez,1973-11-28,USA
2431293,Demian Decorah,,
2431294,Maurice Jackson,,
2431295,Angelo Mcleroy,,
2431296,Rocky Batastini,,
2431297,Aric Dylan,,
2431298,Brian Ryan,,
2431299,Dan Glasgow,,
2431300,Joe Tsosie,,
2431303,Edwin Aguilar,,
2431304,Damien Riccio,,
2431305,Matt Ewin,,
2431306,Eiji Ishikawa,1979-10-12,
2431308,Wes Combs,1973-06-18,
2431309,Kazuhiro Hamanaka,,
